 # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=Fordelene ved mentorordningen er, at den omfatter unge uden kompetencegivende uddannelse.
1-1	Fordelene	B-noun.attribute	
4-5	forestille	O	
4-6	os	O	
4-7	,	O	
4-8	at	O	
4-9	hvis	O	
4-10	nu	O	
4-11	vi	O	
4-12	gør	O	
4-13	det	O	
4-14	her	O	
4-15	lovpligtigt	O	
4-16	,	O	
4-17	nemlig	O	
4-18	at	O	
4-19	have	O	
4-20	cykelhjelm	O	
4-21	på	O	
4-22	,	O	
4-23	hvad	O	
4-24	vil	O	
4-25	det	O	
4-26	så	O	
4-27	betyde	O	
4-28	?	O	

#id=5
#text=Derfor kan man købe de her ydelser til en lavere pris.
5-1	Derfor	O	
5-2	kan	O	
5-3	man	O	
5-4	købe	O	
5-5	de	O	
5-6	her	O	
5-7	ydelser	O	
5-8	til	O	
5-9	en	O	
5-10	lavere	O	
5-11	pris	O	
5-12	.	O	

#id=6
#text=Kunneman forestille sig, at når den offentlige service halter på nogle af de her omsorgsområder, på nogle af de her plejeområder, på nogle af de her områder, hvor det er de allersvageste borgere, der kommer i klemme, så er det, fordi der er langt mellem det, man siger, og det, man gør?
6-1	Kunne	O	
6-2	man	O	
6-3	forestille	O	
6-4	sig	O	
6-5	,	O	
6-6	at	O	
6-7	når	O	
6-8	den	O	
6-9	offentlige	O	
6-10	service	O	
6-11	halter	O	
6-12	på	O	
6-13	nogle	O	
6-14	af	O	
6-15	de	O	
6-16	her	O	
6-17	omsorgsområder	O	
6-18	,	O	
6-19	på	O	
6-20	nogle	O	
6-21	af	O	
6-22	de	O	
6-23	her	O	
6-24	plejeområder	O	
6-25	,	O	
6-26	på	O	
6-27	nogle	O	
6-28	af	O	
6-29	de	O	
6-30	her	O	
6-31	områder	O	
6-32	,	O	
6-33	hvor	O	
6-34	det	O	
6-35	er	O	
6-36	de	O	
6-37	allersvageste	O	
6-38	borgere	O	
6-39	,	O	
6-40	der	O	
6-41	kommer	O	
6-42	i	O	
6-43	klemme	O	
6-44	,	O	
6-45	så	O	
6-46	er	O	
6-47	det	O	
6-48	,	O	
6-49	fordi	O	
6-50	der	O	
6-51	er	O	
6-52	langt	O	
6-53	mellem	O	
6-54	det	O	
6-55	,	O	
6-56	man	O	
6-57	siger	O	
6-58	,	O	
6-59	og	O	
6-60	det	O	
6-61	,	O	
6-62	man	O	
6-63	gør	O	
6-64	?	O	

#id=7
#text=Vihar fjernet lagerbeskatningen for unoterede aktier, fordi vi netop ved, at det er i selskaber, som ikke er noteret på en børs eller en markedsplads, men som er unoterede, at typisk iværksættere har deres investeringer.
7-1	Vi	O	
7-2	har	O	
7-3	fjernet	O	
7-4	lagerbeskatningen	O	
7-5	for	O	
7-6	unoterede	O	
7-7	aktier	O	
7-8	,	O	
7-9	fordi	O	
7-10	vi	O	
7-11	netop	O	
7-12	ved	O	
7-13	,	O	
7-14	at	O	
7-15	det	O	
7-16	er	O	
7-17	i	O	
7-18	selskaber	O	
7-19	,	O	
7-20	som	O	
7-21	ikke	O	
7-22	er	O	
7-23	noteret	O	
7-24	på	O	
7-25	en	O	
7-26	børs	O	
7-27	eller	O	
7-28	en	O	
7-29	markedsplads	O	
7-30	,	O	
7-31	men	O	
7-32	som	O	
7-33	er	O	
7-34	unoterede	O	
7-35	,	O	
7-36	at	O	
7-37	typisk	O	
7-38	iværksættere	O	
7-39	har	O	
7-40	deres	O	
7-41	investeringer	O	
7-42	.	O	

#id=8
#text=Hele det her spørgsmål hviler altså på den falske præmis, at regeringen ikke har gjort noget, at regeringen sidder og venter på at ramme et eller andet tal, som hr. Villy  Søvndal nu vil have oplyst.
8-1	Hele	O	
8-2	det	O	
8-3	her	O	
8-4	spørgsmål	O	
8-5	hviler	O	
8-6	altså	O	
8-7	på	O	
8-8	den	O	
8-9	falske	O	
8-10	præmis	O	
8-11	,	O	
8-12	at	O	
8-13	regeringen	O	
8-14	ikke	O	
8-15	har	O	
8-16	gjort	O	
8-17	noget	O	
8-18	,	O	
8-19	at	O	
8-20	regeringen	O	
8-21	sidder	O	
8-22	og	O	
8-23	venter	O	
8-24	på	O	
8-25	at	O	
8-26	ramme	O	
8-27	et	O	
8-28	eller	O	
8-29	andet	O	
8-30	tal	O	
8-31	,	O	
8-32	som	O	
8-33	hr	O	
8-34	.	O	
8-35	Villy	O	
8-36	Søvndal	O	
8-37	nu	O	
8-38	vil	O	
8-39	have	O	
8-40	oplyst	O	
8-41	.	O	

#id=9
#text=Såer det også blevet sagt, at skatteudgifterne ikke bør fremlægges årligt i forbindelse med finansloven.
9-1	Så	O	
9-2	er	O	
9-3	det	O	
9-4	også	O	
9-5	blevet	O	
9-6	sagt	O	
9-7	,	O	
9-8	at	O	
9-9	skatteudgifterne	O	
9-10	ikke	O	
9-11	bør	O	
9-12	fremlægges	O	
9-13	årligt	O	
9-14	i	O	
9-15	forbindelse	O	
9-16	med	O	
9-17	finansloven	O	
9-18	.	O	

#id=10
#text=Der er en række eksempler på, at man kunne forestille sig en masse områder, som i dag ikke bliver varetaget, men som ville komme frem i lyset.
10-1	Der	O	
10-2	er	O	
10-3	en	O	
10-4	række	O	
10-5	eksempler	O	
10-6	på	O	
10-7	,	O	
10-8	at	O	
10-9	man	O	
10-10	kunne	O	
10-11	forestille	O	
10-12	sig	O	
10-13	en	O	
10-14	masse	O	
10-15	områder	O	
10-16	,	O	
10-17	som	O	
10-18	i	O	
10-19	dag	O	
10-20	ikke	O	
10-21	bliver	O	
10-22	varetaget	O	
10-23	,	O	
10-24	men	O	
10-25	som	O	
10-26	ville	O	
10-27	komme	O	
10-28	frem	O	
10-29	i	O	
10-30	lyset	O	
10-31	.	O	

#id=11
#text=Takfor et, synes jeg, relevant spørgsmål.
11-1	Tak	O	
11-2	for	O	
11-3	et	O	
11-4	,	O	
11-5	synes	O	
11-6	jeg	O	
11-7	,	O	
11-8	relevant	O	
11-9	spørgsmål	O	
11-10	.	O	

#id=12
#text=Derhar været det inde i debatten i dag, især fra Venstres ordførers side, at det her ikke har noget med miljø at gøre, for om man har et stort eller et lille landbrug kommer ud på et, med hensyn til om man kan leve op til de kravdet er myndighederne, der skal håndhæve reglerne, ikke borgeren, Bjarne L., der bliver stillet i reglerne.
12-1	Der	O	
12-2	har	O	
12-3	været	O	
12-4	det	O	
12-5	inde	O	
12-6	i	O	
12-7	debatten	O	
12-8	i	O	
12-9	dag	O	
12-10	,	O	
12-11	især	O	
12-12	fra	O	
12-13	Venstres	O	
12-14	ordførers	O	
12-15	side	O	
12-16	,	O	
12-17	at	O	
12-18	det	O	
12-19	her	O	
12-20	ikke	O	
12-21	har	O	
12-22	noget	O	
12-23	med	O	
12-24	miljø	O	
12-25	at	O	
12-26	gøre	O	
12-27	,	O	
12-28	for	O	
12-29	om	O	
12-30	man	O	
12-31	har	O	
12-32	et	O	
12-33	stort	O	
12-34	eller	O	
12-35	et	O	
12-36	lille	O	
12-37	landbrug	O	
12-38	kommer	O	
12-39	ud	O	
12-40	på	O	
12-41	et	O	
12-42	,	O	
12-43	med	O	
12-44	hensyn	O	
12-45	til	O	
12-46	om	O	
12-47	man	O	
12-48	kan	O	
12-49	leve	O	
12-50	op	O	
12-51	til	O	
12-52	de	O	
12-53	kravdet	O	
12-54	er	O	
12-55	myndighederne	O	
12-56	,	O	
12-57	der	O	
12-58	skal	O	
12-59	håndhæve	O	
12-60	reglerne	O	
12-61	,	O	
12-62	ikke	O	
12-63	borgeren	O	
12-64	,	O	
12-65	Bjarne	O	
12-66	L	O	
12-67	.	O	
12-68	,	O	
12-69	der	O	
12-70	bliver	O	
12-71	stillet	O	
12-72	i	O	
12-73	reglerne	O	
12-74	.	O	

#id=13
#text=Det, der er afgørende, er, hvor indsatsen skal gøres.
13-1	Det	O	
13-2	,	O	
13-3	der	O	
13-4	er	O	
13-5	afgørende	O	
13-6	,	O	
13-7	er	O	
13-8	,	O	
13-9	hvor	O	
13-10	indsatsen	O	
13-11	skal	O	
13-12	gøres	O	
13-13	.	O	

#id=14
#text=Normalter jeg også meget glad for, at hr.
14-1	Normalt	O	
14-2	er	O	
14-3	jeg	O	
14-4	også	O	
14-5	meget	O	
14-6	glad	O	
14-7	for	O	
14-8	,	O	
14-9	at	O	
14-10	hr	O	
14-11	.	O	

#id=15
#text=Det eneste, man kan sige, når man ser på det _ og forberedelserne til den her sag har faktisk været store _ er, hvor meget forskning der er lavet, og det er en rigtig stor mængde.
15-1	Det	O	
15-2	eneste	O	
15-3	,	O	
15-4	man	O	
15-5	kan	O	
15-6	sige	O	
15-7	,	O	
15-8	når	O	
15-9	man	O	
15-10	ser	O	
15-11	på	O	
15-12	det	O	
15-13	_	O	
15-14	og	O	
15-15	forberedelserne	O	
15-16	til	O	
15-17	den	O	
15-18	her	O	
15-19	sag	O	
15-20	har	O	
15-21	faktisk	O	
15-22	været	O	
15-23	store	O	
15-24	_	O	
15-25	er	O	
15-26	,	O	
15-27	hvor	O	
15-28	meget	O	
15-29	forskning	O	
15-30	der	O	
15-31	er	O	
15-32	lavet	O	
15-33	,	O	
15-34	og	O	
15-35	det	O	
15-36	er	O	
15-37	en	O	
15-38	rigtig	O	
15-39	stor	O	
15-40	mængde	O	
15-41	.	O	

#id=16
#text=RadikaleVenstres ordfører kan ikke være til stede i salen i dag, så jeg skal sige følgende på Radikale Venstres vegne:
16-1	Radikale	O	
16-2	Venstres	O	
16-3	ordfører	O	
16-4	kan	O	
16-5	ikke	O	
16-6	være	O	
16-7	til	O	
16-8	stede	O	
16-9	i	O	
16-10	salen	O	
16-11	i	O	
16-12	dag	O	
16-13	,	O	
16-14	så	O	
16-15	jeg	O	
16-16	skal	O	
16-17	sige	O	
16-18	følgende	O	
16-19	på	O	
16-20	Radikale	O	
16-21	Venstres	O	
16-22	vegne	O	
16-23	:	O	

#id=17
#text=Vil Dansk Folkepartis ordfører ikke anerkende, at det kunne sådan en ombudsmand bidrage til?
17-1	Vil	O	
17-2	Dansk	O	
17-3	Folkepartis	O	
17-4	ordfører	O	
17-5	ikke	O	
17-6	anerkende	O	
17-7	,	O	
17-8	at	O	
17-9	det	O	
17-10	kunne	O	
17-11	sådan	O	
17-12	en	O	
17-13	ombudsmand	O	
17-14	bidrage	O	
17-15	til	O	
17-16	?	O	

#id=18
#text=Jegskal ikke lægge skjul på, at jeg personligt og Liberal Alliance går varmt ind for en indførelse af dobbelt statsborgerskab.
18-1	Jeg	O	
18-2	skal	O	
18-3	ikke	O	
18-4	lægge	O	
18-5	skjul	O	
18-6	på	O	
18-7	,	O	
18-8	at	O	
18-9	jeg	O	
18-10	personligt	O	
18-11	og	O	
18-12	Liberal	O	
18-13	Alliance	O	
18-14	går	O	
18-15	varmt	O	
18-16	ind	O	
18-17	for	O	
18-18	en	O	
18-19	indførelse	O	
18-20	af	O	
18-21	dobbelt	O	
18-22	statsborgerskab	O	
18-23	.	O	

#id=19
#text=Hvordan går det egentlig med at levere tryghed til danskerne under Dansk Folkepartis stramme styring af retspolitikken?
19-1	Hvordan	O	
19-2	går	O	
19-3	det	O	
19-4	egentlig	O	
19-5	med	O	
19-6	at	O	
19-7	levere	O	
19-8	tryghed	O	
19-9	til	O	
19-10	danskerne	O	
19-11	under	O	
19-12	Dansk	O	
19-13	Folkepartis	O	
19-14	stramme	O	
19-15	styring	O	
19-16	af	O	
19-17	retspolitikken	O	
19-18	?	O	

#id=20
#text=Sagen er, at ministeren jo ikke har ret meget viden om det her.
20-1	Sagen	O	
20-2	er	O	
20-3	,	O	
20-4	at	O	
20-5	ministeren	O	
20-6	jo	O	
20-7	ikke	O	
20-8	har	O	
20-9	ret	O	
20-10	meget	O	
20-11	viden	O	
20-12	om	O	
20-13	det	O	
20-14	her	O	
20-15	.	O	

#id=21
#text=Medhensyn til spørgsmålet om de to billedkunstudvalg har der jo været nogle drøftelser om, hvorvidt der skulle være en fælles formand, og jeg håber, at man på sigt, også de, som har nogle betænkeligheder ved det, vil kunne se,  at det trods alt vil kunne styrke fagområdet, når der er en fælles formand til at koordinere arbejdet.
21-1	Med	O	
21-2	hensyn	O	
21-3	til	O	
21-4	spørgsmålet	O	
21-5	om	O	
21-6	de	O	
21-7	to	O	
21-8	billedkunstudvalg	O	
21-9	har	O	
21-10	der	O	
21-11	jo	O	
21-12	været	O	
21-13	nogle	O	
21-14	drøftelser	O	
21-15	om	O	
21-16	,	O	
21-17	hvorvidt	O	
21-18	der	O	
21-19	skulle	O	
21-20	være	O	
21-21	en	O	
21-22	fælles	O	
21-23	formand	O	
21-24	,	O	
21-25	og	O	
21-26	jeg	O	
21-27	håber	O	
21-28	,	O	
21-29	at	O	
21-30	man	O	
21-31	på	O	
21-32	sigt	O	
21-33	,	O	
21-34	også	O	
21-35	de	O	
21-36	,	O	
21-37	som	O	
21-38	har	O	
21-39	nogle	O	
21-40	betænkeligheder	O	
21-41	ved	O	
21-42	det	O	
21-43	,	O	
21-44	vil	O	
21-45	kunne	O	
21-46	se	O	
21-47	,	O	
21-48	at	O	
21-49	det	O	
21-50	trods	O	
21-51	alt	O	
21-52	vil	O	
21-53	kunne	O	
21-54	styrke	O	
21-55	fagområdet	O	
21-56	,	O	
21-57	når	O	
21-58	der	O	
21-59	er	O	
21-60	en	O	
21-61	fælles	O	
21-62	formand	O	
21-63	til	O	
21-64	at	O	
21-65	koordinere	O	
21-66	arbejdet	O	
21-67	.	O	

#id=22
#text=Jeg var faktisk ret overrasket over, at netop Socialdemokratiet, som jo var med til at indføre ordningen, nu kommer med det her forslag, som i væsentlig grad bryder fundamentalt med skadevolderprincippet, som er helt afgørende for museumsloven.
22-1	Jeg	O	
22-2	var	O	
22-3	faktisk	O	
22-4	ret	O	
22-5	overrasket	O	
22-6	over	O	
22-7	,	O	
22-8	at	O	
22-9	netop	O	
22-10	Socialdemokratiet	O	
22-11	,	O	
22-12	som	O	
22-13	jo	O	
22-14	var	O	
22-15	med	O	
22-16	til	O	
22-17	at	O	
22-18	indføre	O	
22-19	ordningen	O	
22-20	,	O	
22-21	nu	O	
22-22	kommer	O	
22-23	med	O	
22-24	det	O	
22-25	her	O	
22-26	forslag	O	
22-27	,	O	
22-28	som	O	
22-29	i	O	
22-30	væsentlig	O	
22-31	grad	O	
22-32	bryder	O	
22-33	fundamentalt	O	
22-34	med	O	
22-35	skadevolderprincippet	O	
22-36	,	O	
22-37	som	O	
22-38	er	O	
22-39	helt	O	
22-40	afgørende	O	
22-41	for	O	
22-42	museumsloven	O	
22-43	.	O	

#id=23
#text=Nårjeg har været optaget af at åbne op for bedre mulighed for selskabskonstruktioner, handler det om, at det kræver enorme investeringer, hvis man skal erhverve et moderne dansk landbrug i dag.
23-1	Når	O	
23-2	jeg	O	
23-3	har	O	
23-4	været	O	
23-5	optaget	O	
23-6	af	O	
23-7	at	O	
23-8	åbne	O	
23-9	op	O	
23-10	for	O	
23-11	bedre	O	
23-12	mulighed	O	
23-13	for	O	
23-14	selskabskonstruktioner	O	
23-15	,	O	
23-16	handler	O	
23-17	det	O	
23-18	om	O	
23-19	,	O	
23-20	at	O	
23-21	det	O	
23-22	kræver	O	
23-23	enorme	O	
23-24	investeringer	O	
23-25	,	O	
23-26	hvis	O	
23-27	man	O	
23-28	skal	O	
23-29	erhverve	O	
23-30	et	O	
23-31	moderne	O	
23-32	dansk	O	
23-33	landbrug	O	
23-34	i	O	
23-35	dag	O	
23-36	.	O	

#id=24
#text=Deter da helt uforståeligt, at finansministeren overhovedet ikke hører efter, hvad det er, der bliver spurgt om.
24-1	Det	O	
24-2	er	O	
24-3	da	O	
24-4	helt	O	
24-5	uforståeligt	O	
24-6	,	O	
24-7	at	O	
24-8	finansministeren	O	
24-9	overhovedet	O	
24-10	ikke	O	
24-11	hører	O	
24-12	efter	O	
24-13	,	O	
24-14	hvad	O	
24-15	det	O	
24-16	er	O	
24-17	,	O	
24-18	der	O	
24-19	bliver	O	
24-20	spurgt	O	
24-21	om	O	
24-22	.	O	

#id=25
#text=Jamendet er jo ikke rigtigt at sige, at der ikke har været et lønpres.
25-1	Jamen	O	
25-2	det	O	
25-3	er	O	
25-4	jo	O	
25-5	ikke	O	
25-6	rigtigt	O	
25-7	at	O	
25-8	sige	O	
25-9	,	O	
25-10	at	O	
25-11	der	O	
25-12	ikke	O	
25-13	har	O	
25-14	været	O	
25-15	et	O	
25-16	lønpres	O	
25-17	.	O	

#id=26
#text=Derudover kan vi se, at der er flere indvandrere og efterkommere også fra ikkevestlige lande, der har fået en praktikplads på erhvervsuddannelserne.
26-1	Derudover	O	
26-2	kan	O	
26-3	vi	O	
26-4	se	O	
26-5	,	O	
26-6	at	O	
26-7	der	O	
26-8	er	O	
26-9	flere	O	
26-10	indvandrere	O	
26-11	og	O	
26-12	efterkommere	O	
26-13	også	O	
26-14	fra	O	
26-15	ikkevestlige	O	
26-16	lande	O	
26-17	,	O	
26-18	der	O	
26-19	har	O	
26-20	fået	O	
26-21	en	O	
26-22	praktikplads	O	
26-23	på	O	
26-24	erhvervsuddannelserne	O	
26-25	.	O	

#id=27
#text=Jamendet er dejligt at være til eksamen hos hr.
27-1	Jamen	O	
27-2	det	O	
27-3	er	O	
27-4	dejligt	O	
27-5	at	O	
27-6	være	O	
27-7	til	O	
27-8	eksamen	O	
27-9	hos	O	
27-10	hr	O	
27-11	.	O	

#id=28
#text=Og så ville man ikke i så stor udstrækning, som der nu er tale om, være økonomisk fuldstændig i lommen på kreditforeningerne.
28-1	Og	O	
28-2	så	O	
28-3	ville	O	
28-4	man	O	
28-5	ikke	O	
28-6	i	O	
28-7	så	O	
28-8	stor	O	
28-9	udstrækning	O	
28-10	,	O	
28-11	som	O	
28-12	der	O	
28-13	nu	O	
28-14	er	O	
28-15	tale	O	
28-16	om	O	
28-17	,	O	
28-18	være	O	
28-19	økonomisk	O	
28-20	fuldstændig	O	
28-21	i	O	
28-22	lommen	O	
28-23	på	O	
28-24	kreditforeningerne	O	
28-25	.	O	

#id=29
#text=Det er egentlig specielt tankevækkende, at en repræsentant for Det Radikale Venstre kan  have det synspunkt, at det er en konkurrence, der er værd at tage.
29-1	Det	O	
29-2	er	O	
29-3	egentlig	O	
29-4	specielt	O	
29-5	tankevækkende	O	
29-6	,	O	
29-7	at	O	
29-8	en	O	
29-9	repræsentant	O	
29-10	for	O	
29-11	Det	O	
29-12	Radikale	O	
29-13	Venstre	O	
29-14	kan	O	
29-15	have	O	
29-16	det	O	
29-17	synspunkt	O	
29-18	,	O	
29-19	at	O	
29-20	det	O	
29-21	er	O	
29-22	en	O	
29-23	konkurrence	O	
29-24	,	O	
29-25	der	O	
29-26	er	O	
29-27	værd	O	
29-28	at	O	
29-29	tage	O	
29-30	.	O	

#id=30
#text=Så det er derfor, at vi selvfølgelig er kede af det, hver eneste gang der er store danske virksomheder eller andre, som mister ordrer.
30-1	Så	O	
30-2	det	O	
30-3	er	O	
30-4	derfor	O	
30-5	,	O	
30-6	at	O	
30-7	vi	O	
30-8	selvfølgelig	O	
30-9	er	O	
30-10	kede	O	
30-11	af	O	
30-12	det	O	
30-13	,	O	
30-14	hver	O	
30-15	eneste	O	
30-16	gang	O	
30-17	der	O	
30-18	er	O	
30-19	store	O	
30-20	danske	O	
30-21	virksomheder	O	
30-22	eller	O	
30-23	andre	O	
30-24	,	O	
30-25	som	O	
30-26	mister	O	
30-27	ordrer	O	
30-28	.	O	

#id=31
#text=Det skal det naturligvis, men det er også fremgået meget klart af førstebehandlingen og nu igen af andenbehandlingen, at det er noget, vi har gjort, fordi vi har lyttet til de råd, der har været fra forskellige aktører på det finansielle marked, herunder Nationalbanken og de internationale ratingbureauer, og derfor har jeg altså meget svært ved at forstå, at det, at man lytter til en kritik, når et forslag er i høring, gør, at der skulle være tale om en eller en form for hemmelig proces.
31-1	Det	O	
31-2	skal	O	
31-3	det	O	
31-4	naturligvis	O	
31-5	,	O	
31-6	men	O	
31-7	det	O	
31-8	er	O	
31-9	også	O	
31-10	fremgået	O	
31-11	meget	O	
31-12	klart	O	
31-13	af	O	
31-14	førstebehandlingen	O	
31-15	og	O	
31-16	nu	O	
31-17	igen	O	
31-18	af	O	
31-19	andenbehandlingen	O	
31-20	,	O	
31-21	at	O	
31-22	det	O	
31-23	er	O	
31-24	noget	O	
31-25	,	O	
31-26	vi	O	
31-27	har	O	
31-28	gjort	O	
31-29	,	O	
31-30	fordi	O	
31-31	vi	O	
31-32	har	O	
31-33	lyttet	O	
31-34	til	O	
31-35	de	O	
31-36	råd	O	
31-37	,	O	
31-38	der	O	
31-39	har	O	
31-40	været	O	
31-41	fra	O	
31-42	forskellige	O	
31-43	aktører	O	
31-44	på	O	
31-45	det	O	
31-46	finansielle	O	
31-47	marked	O	
31-48	,	O	
31-49	herunder	O	
31-50	Nationalbanken	O	
31-51	og	O	
31-52	de	O	
31-53	internationale	O	
31-54	ratingbureauer	O	
31-55	,	O	
31-56	og	O	
31-57	derfor	O	
31-58	har	O	
31-59	jeg	O	
31-60	altså	O	
31-61	meget	O	
31-62	svært	O	
31-63	ved	O	
31-64	at	O	
31-65	forstå	O	
31-66	,	O	
31-67	at	O	
31-68	det	O	
31-69	,	O	
31-70	at	O	
31-71	man	O	
31-72	lytter	O	
31-73	til	O	
31-74	en	O	
31-75	kritik	O	
31-76	,	O	
31-77	når	O	
31-78	et	O	
31-79	forslag	O	
31-80	er	O	
31-81	i	O	
31-82	høring	O	
31-83	,	O	
31-84	gør	O	
31-85	,	O	
31-86	at	O	
31-87	der	O	
31-88	skulle	O	
31-89	være	O	
31-90	tale	O	
31-91	om	O	
31-92	en	O	
31-93	eller	O	
31-94	en	O	
31-95	form	O	
31-96	for	O	
31-97	hemmelig	O	
31-98	proces	O	
31-99	.	O	

#id=32
#text=Men her har regeringen altså  tilsyneladende snydt på vægten og ikke sendt pengene med.
32-1	Men	O	
32-2	her	O	
32-3	har	O	
32-4	regeringen	O	
32-5	altså	O	
32-6	tilsyneladende	O	
32-7	snydt	O	
32-8	på	O	
32-9	vægten	O	
32-10	og	O	
32-11	ikke	O	
32-12	sendt	O	
32-13	pengene	O	
32-14	med	O	
32-15	.	O	

#id=33
#text=Hvis de ikke har lyst til det eller ikke kan det, kan vi vel nøjes med et mindre antal.
33-1	Hvis	O	
33-2	de	O	
33-3	ikke	O	
33-4	har	O	
33-5	lyst	O	
33-6	til	O	
33-7	det	O	
33-8	eller	O	
33-9	ikke	O	
33-10	kan	O	
33-11	det	O	
33-12	,	O	
33-13	kan	O	
33-14	vi	O	
33-15	vel	O	
33-16	nøjes	O	
33-17	med	O	
33-18	et	O	
33-19	mindre	O	
33-20	antal	O	
33-21	.	O	

#id=34
#text=m.fl.:
34-1	m	O	
34-2	.	O	
34-3	fl	O	
34-4	.	O	
34-5	:	O	

#id=35
#text=På det tidspunkt, hvor Velfærdsministeriet måtte  konstatere, at disse kommuner har ret, meddelte man, at det vil man først gøre noget ved i år 2012, med det resultat at vi rundtomkring i kommunerne - og 30 kommuner er altså ret mange, al den stund at vi kun har 98 kommuner i dag - kan se, at plejehjemmene bliver nedslidte, at skolerne bliver nedslidte, og at de udviklingstendenser, man i øvrigt havde lagt frem, fordi regeringen havde stillet krav om det, bliver droslet ned til tredje klasses niveau.
35-1	På	O	
35-2	det	O	
35-3	tidspunkt	O	
35-4	,	O	
35-5	hvor	O	
35-6	Velfærdsministeriet	O	
35-7	måtte	O	
35-8	konstatere	O	
35-9	,	O	
35-10	at	O	
35-11	disse	O	
35-12	kommuner	O	
35-13	har	O	
35-14	ret	O	
35-15	,	O	
35-16	meddelte	O	
35-17	man	O	
35-18	,	O	
35-19	at	O	
35-20	det	O	
35-21	vil	O	
35-22	man	O	
35-23	først	O	
35-24	gøre	O	
35-25	noget	O	
35-26	ved	O	
35-27	i	O	
35-28	år	O	
35-29	2012	O	
35-30	,	O	
35-31	med	O	
35-32	det	O	
35-33	resultat	O	
35-34	at	O	
35-35	vi	O	
35-36	rundtomkring	O	
35-37	i	O	
35-38	kommunerne	O	
35-39	-	O	
35-40	og	O	
35-41	30	O	
35-42	kommuner	O	
35-43	er	O	
35-44	altså	O	
35-45	ret	O	
35-46	mange	O	
35-47	,	O	
35-48	al	O	
35-49	den	O	
35-50	stund	O	
35-51	at	O	
35-52	vi	O	
35-53	kun	O	
35-54	har	O	
35-55	98	O	
35-56	kommuner	O	
35-57	i	O	
35-58	dag	O	
35-59	-	O	
35-60	kan	O	
35-61	se	O	
35-62	,	O	
35-63	at	O	
35-64	plejehjemmene	O	
35-65	bliver	O	
35-66	nedslidte	O	
35-67	,	O	
35-68	at	O	
35-69	skolerne	O	
35-70	bliver	O	
35-71	nedslidte	O	
35-72	,	O	
35-73	og	O	
35-74	at	O	
35-75	de	O	
35-76	udviklingstendenser	O	
35-77	,	O	
35-78	man	O	
35-79	i	O	
35-80	øvrigt	O	
35-81	havde	O	
35-82	lagt	O	
35-83	frem	O	
35-84	,	O	
35-85	fordi	O	
35-86	regeringen	O	
35-87	havde	O	
35-88	stillet	O	
35-89	krav	O	
35-90	om	O	
35-91	det	O	
35-92	,	O	
35-93	bliver	O	
35-94	droslet	O	
35-95	ned	O	
35-96	til	O	
35-97	tredje	O	
35-98	klasses	O	
35-99	niveau	O	
35-100	.	O	

#id=36
#text=Et andet eksempel, de skal stille skarpt på, er det med grundlaget for at ophæve visse bestemmelser i kapitel 24, specielt § 221 og § 227, som forslagsstillerne også foreslår i beslutningsforslaget.
36-1	Et	O	
36-2	andet	O	
